2025-12-18 14:22:37 status half-installed hostname:amd64 3.25
2025-12-18 14:22:38 status unpacked hostname:amd64 3.25
2025-12-18 14:22:38 install init-system-helpers:all <none> 1.69~deb13u1
2025-12-18 14:22:38 status half-installed init-system-helpers:all 1.69~deb13u1
2025-12-18 14:22:38 status unpacked init-system-helpers:all 1.69~deb13u1
2025-12-18 14:22:38 install libacl1:amd64 <none> 2.3.2-2+b1
2025-12-18 14:22:38 status half-installed libacl1:amd64 2.3.2-2+b1
2025-12-18 14:22:38 status unpacked libacl1:amd64 2.3.2-2+b1
2025-12-18 14:22:38 install libapt-pkg7.0:amd64 <none> 3.0.3
2025-12-18 14:22:38 status half-installed libapt-pkg7.0:amd64 3.0.3
2025-12-18 14:22:38 status unpacked libapt-pkg7.0:amd64 3.0.3
2025-12-18 14:22:38 install libattr1:amd64 <none> 1:2.5.2-3
2025-12-18 14:22:38 status half-installed libattr1:amd64 1:2.5.2-3
2025-12-18 14:22:38 status unpacked libattr1:amd64 1:2.5.2-3
2025-12-18 14:22:38 install libaudit-common:all <none> 1:4.0.2-2
2025-12-18 14:22:38 status half-installed libaudit-common:all 1:4.0.2-2
2025-12-18 14:22:38 status unpacked libaudit-common:all 1:4.0.2-2
2025-12-18 14:22:38 install libaudit1:amd64 <none> 1:4.0.2-2+b2
2025-12-18 14:22:38 status half-installed libaudit1:amd64 1:4.0.2-2+b2
2025-12-18 14:22:38 status unpacked libaudit1:amd64 1:4.0.2-2+b2
2025-12-18 14:22:38 install libblkid1:amd64 <none> 2.41-5
2025-12-18 14:22:38 status half-installed libblkid1:amd64 2.41-5
2025-12-18 14:22:38 status unpacked libblkid1:amd64 2.41-5
2025-12-18 14:22:38 install libbsd0:amd64 <none> 0.12.2-2
2025-12-18 14:22:38 status half-installed libbsd0:amd64 0.12.2-2
2025-12-18 14:22:38 status unpacked libbsd0:amd64 0.12.2-2
2025-12-18 14:22:38 install libbz2-1.0:amd64 <none> 1.0.8-6
2025-12-18 14:22:38 status half-installed libbz2-1.0:amd64 1.0.8-6
2025-12-18 14:22:38 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-12-18 14:22:38 install libc-bin:amd64 <none> 2.41-12
2025-12-18 14:22:38 status half-installed libc-bin:amd64 2.41-12
2025-12-18 14:22:38 status unpacked libc-bin:amd64 2.41-12
2025-12-18 14:22:38 upgrade libc6:amd64 2.41-12 2.41-12
